"reviews_per_month";"name";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"calculated_host_listings_count";"availability_365"
3.51;"Private Family Home 2BR mins to Midtown Manhattan";"Myrna And David";"Queens";"Astoria";40.76135;-73.91571;"Private room";195;3;231;1;304
0.75;"Relaxing, serene room in NYC Apt";"Paul";"Queens";"Long Island City";40.76081;-73.93163;"Private room";100;20;52;1;182
3.58;"Lovely Suite in Historic Brownstone near Subway";"Jay";"Brooklyn";"Bedford-Stuyvesant";40.68972;-73.93073;"Entire home/apt";115;2;210;2;106
0.26;"Sunny Floral Artist Apartment Chinatown LES";"Krista";"Manhattan";"Two Bridges";40.70911;-73.99685;"Entire home/apt";180;3;18;1;72
0.82;"Welcome to a beautiful Quiet Bronx.";"Ronald";"Bronx";"Soundview";40.82138;-73.87603;"Private room";45;3;53;1;249
0.96;"LARGE PRIVATE BED + BATH, LES";"Sarah";"Manhattan";"Lower East Side";40.72105;-73.98519;"Entire home/apt";300;2;65;1;350
0.29;"Cozy NY-style 1BDRM Apartment UES.";"Art";"Manhattan";"Upper East Side";40.76358;-73.95895;"Entire home/apt";90;80;20;1;203
0.6;"View of Empire State Building!";"Tavia";"Queens";"Sunnyside";40.74609;-73.91406;"Entire home/apt";140;2;40;1;20
1.89;"High Floor apt.near Columbus Circle";"Jon";"Manhattan";"Hell's Kitchen";40.76708;-73.986;"Entire home/apt";200;2;119;1;216
0.07;"Cozy Room in Astoria";"Marinez";"Queens";"Astoria";40.76549;-73.92934;"Private room";100;3;4;2;364
2.06;"Spacious Historic Williamsburg 2/1.5 Townhouse";"Irie";"Brooklyn";"Williamsburg";40.70982;-73.9642;"Entire home/apt";250;3;144;1;128
4.1;"Prime Williamsburg Large bedroom for 1or2 people";"Charles";"Brooklyn";"Williamsburg";40.71973;-73.96071;"Private room";85;1;221;3;206
0.49;"Spacious and Chic Times Square 1 Bedroom";"Soren";"Manhattan";"Hell's Kitchen";40.765;-73.98904;"Entire home/apt";109;2;26;1;139
0.1;"Bohemian 2BR DuplexLoft in Brooklyn";"Vida";"Brooklyn";"Greenpoint";40.72569;-73.94054;"Entire home/apt";159;30;6;52;310
0.21;"1 Bedroom in Greenwich Village";"James";"Manhattan";"Greenwich Village";40.73236;-73.9992;"Entire home/apt";260;5;13;1;167
1.63;"Chelsea NYC luxury 2 bed/2 bath, garden apt";"Kris";"Manhattan";"Chelsea";40.74188;-73.99729;"Entire home/apt";555;3;111;1;191
3.37;"Spacious, Cozy NYC Apartment - 1 Minute to Subway!";"Samantha";"Manhattan";"East Harlem";40.80012;-73.94087;"Private room";87;2;235;1;23
0.16;"Affordable Clean Private Room NYC  ";"Alex Nova York";"Bronx";"Mount Eden";40.84367;-73.91718;"Private room";43;2;11;1;338
0.42;"UPPER EAST SIDE 1BR APT - CENTRAL";"Carlos";"Manhattan";"Upper East Side";40.77219;-73.95073;"Entire home/apt";199;1;29;5;339
0.24;"Priv room in 3 bdrm apt - Room 'A'";"Ryan";"Manhattan";"Harlem";40.80247;-73.94531;"Private room";90;2;17;3;177
1.13;"Modern, Sunny Duplex PENTHOUSE  w/ BALCONY";"Dahlia";"Brooklyn";"Bedford-Stuyvesant";40.69194;-73.95952;"Entire home/apt";195;3;78;1;312
2.09;"THE LINCOLN PARLOR";"Althea";"Brooklyn";"Crown Heights";40.66946;-73.95008;"Entire home/apt";185;3;115;3;314
0.28;"NYC Central Park family apt - 3bdr";"Alexana";"Manhattan";"Upper West Side";40.78952;-73.98097;"Entire home/apt";400;7;19;1;46
2.07;"Elegant 1b Near Everything";"Yvonne";"Manhattan";"Chelsea";40.74314;-73.9957;"Entire home/apt";200;2;144;1;263
0.87;"Big quiet Sunny room in Upper East Side";"Aaron";"Manhattan";"East Harlem";40.79692;-73.94434;"Private room";100;1;41;2;355
0.17;"Museum Mile Central Pk- Madison Ave";"Lynne";"Manhattan";"Upper East Side";40.77648;-73.96126;"Entire home/apt";225;4;10;1;348
0.25;"Brooklyn Stunning Event Space.";"Maurice";"Brooklyn";"Crown Heights";40.67247;-73.93616;"Entire home/apt";450;1;9;3;364
1.76;"BEST Bushwick 1 Bedroom - 15 min to Manhattan";"Gordon";"Brooklyn";"Bushwick";40.69366;-73.92281;"Entire home/apt";89;4;123;2;18
1.83;"Modern/Renovated/Best EV Location!!";"Simon";"Manhattan";"East Village";40.72714;-73.98397;"Entire home/apt";179;4;127;1;17
0.1;"Lovely Room in Awesome Apartment - Fun/Convenient";"Yair";"Manhattan";"Chelsea";40.74563;-73.99325;"Private room";90;3;6;1;11
0.59;"Cozy 1 BR Apt - Sunnyside, Queens";"David";"Queens";"Sunnyside";40.74244;-73.91676;"Entire home/apt";95;1;41;2;177
1.72;"Nice cozy bedroom with cool views in Hell's kit..!";"Anthony";"Manhattan";"Hell's Kitchen";40.76421;-73.99115;"Private room";80;5;62;2;23
3.39;"Newly Renovated East Village Private Guest Studio";"S & G";"Manhattan";"East Village";40.731;-73.98427;"Entire home/apt";110;1;233;2;17
5.53;"Small Cozy Room Wifi & AC near JFK";"Antonio";"Queens";"Woodhaven";40.68968;-73.85219;"Private room";29;2;386;3;50
1.08;"Fully furnished 2 Bedrooms floor-through apartment";"Sophie";"Manhattan";"Harlem";40.80266;-73.94728;"Entire home/apt";200;60;74;1;233
2.63;"2000 sqf  Duplex in Townhouse";"Francesca";"Manhattan";"Upper West Side";40.78852;-73.96746;"Entire home/apt";390;5;108;2;156
3.04;"Space For guest";"Aude";"Manhattan";"Battery Park City";40.71078;-74.01623;"Shared room";55;1;205;1;326
0.91;"( Hostal ) 1 full size Mattress (Top Bunk)";"Fernando";"Queens";"Forest Hills";40.71697;-73.83396;"Shared room";75;5;63;5;19
0.0;"Charming space in lively neighborhood.";"Joseph";"Brooklyn";"Crown Heights";40.67528;-73.95741;"Private room";75;1;0;1;58
0.91;"Sweet Apartment on Quiet Block";"Liz";"Brooklyn";"Bedford-Stuyvesant";40.68931;-73.95548;"Entire home/apt";120;7;39;2;50
0.53;"Sunny 1 bedroom In The Heart of NYC";"Pk";"Manhattan";"Murray Hill";40.74881;-73.97234;"Private room";143;2;37;1;364
0.41;"Beautiful 1 bdrm in 2 bdrm apt";"Allison";"Brooklyn";"Williamsburg";40.71284;-73.93965;"Private room";99;3;19;2;310
0.74;"Charming 1BR  ";"Zuffina";"Manhattan";"Harlem";40.80395;-73.95519;"Entire home/apt";150;3;50;1;152
0.29;"LOFT Private Room - MOVIE THEATER/GYM/LAUNDRY/ROOF";"Adriana";"Brooklyn";"Bedford-Stuyvesant";40.69009;-73.95314;"Private room";55;10;20;1;184
1.31;"1800sf Urban Goddess Brooklyn Loft";"Claudia";"Brooklyn";"Bedford-Stuyvesant";40.69169;-73.9603;"Entire home/apt";175;2;85;1;287
2.12;"Bushwick Artist Loft - Cozy Room";"Tom & Lily";"Brooklyn";"Bushwick";40.70818;-73.92202;"Private room";69;1;142;3;329
0.33;"Suite Spot in Tribeca";"Anne";"Manhattan";"Tribeca";40.71481;-74.00934;"Entire home/apt";184;4;22;1;12
3.01;"Classic Cool Comfortable LES";"Rock";"Manhattan";"Lower East Side";40.72131;-73.98527;"Private room";100;3;210;1;256
1.14;"Private, Cozy Bedroom/ Barclay Ctr";"Natasha";"Brooklyn";"Prospect-Lefferts Gardens";40.65987;-73.95076;"Private room";44;5;79;3;251
0.91;"Harlem Oasis";"Ephraim";"Manhattan";"Harlem";40.81157;-73.95335;"Private room";60;1;57;1;301
3.8;"Private  Studio Museum Block UWS";"Ana Maria";"Manhattan";"Upper West Side";40.77631;-73.97953;"Entire home/apt";175;3;258;1;235
0.44;"Large, bright Williamsburg room";"Ana";"Brooklyn";"Williamsburg";40.70683;-73.95375;"Private room";65;1;10;1;73
0.24;"Effortlessly Chic WILLIAMSBURG BK";"Cory";"Brooklyn";"Williamsburg";40.71295;-73.93874;"Entire home/apt";190;2;11;1;331
2.07;"Charming Spacious 1 Bdrm Apt";"Mike";"Brooklyn";"Crown Heights";40.67204;-73.95147;"Entire home/apt";107;3;143;1;23
0.46;"DOMINIQUE'S NY*Wanderlust room/Metro/Bronx Zoo/Gdn";"Vie";"Bronx";"Co-op City";40.86317;-73.82494;"Private room";75;2;32;13;363
0.2;"Private room with sleeping loft";"Valerie";"Brooklyn";"Williamsburg";40.7187;-73.95133;"Private room";45;2;14;2;36
6.3;"YOUR  PRIVATE COZY 1Br + 15min from Manhattan";"John";"Queens";"Sunnyside";40.73747;-73.9248;"Entire home/apt";110;1;92;2;147
0.76;"Industrial Modern 1 Bedroom - Prime Williamsburg";"Lauren";"Brooklyn";"Williamsburg";40.71875;-73.94935;"Entire home/apt";245;2;14;1;65
0.58;"Huuuge Sunny Central Park REAL 2 bedroom 1.5 baths";"Lo";"Manhattan";"Midtown";40.76391;-73.9782;"Entire home/apt";799;6;40;1;365
0.17;"Near Subway Sunny Spacious Room in NYC";"Katy";"Manhattan";"Morningside Heights";40.81569;-73.96058;"Private room";100;2;12;1;252
1.06;"nice room in bedstuy B";"Randy";"Brooklyn";"Bedford-Stuyvesant";40.68366;-73.95009;"Private room";61;1;71;15;314
0.23;"Brooklyn Heights One Bedroom Loft";"Sherief";"Brooklyn";"Brooklyn Heights";40.7001;-73.99183;"Entire home/apt";275;5;16;1;12
1.95;"Mayor's Mansion - Fort Greene";"Claudia And Leo";"Brooklyn";"Fort Greene";40.68585;-73.97016;"Entire home/apt";250;4;134;1;222
2.77;"Stunning  Limestone  1 Bdrm Flat";"Danielle";"Brooklyn";"Crown Heights";40.67191;-73.93997;"Entire home/apt";135;3;190;1;267
0.06;"SUNNY,SUPER CLEAN WEST VILLAGE  APT";"Hakan";"Manhattan";"West Village";40.73246;-74.00215;"Entire home/apt";199;10;4;1;3
0.29;"Queen size room in Brooklyn";"Christine";"Brooklyn";"Bedford-Stuyvesant";40.69023;-73.94628;"Private room";75;1;19;5;289
0.43;"Invitation to travelers";"Christine";"Brooklyn";"Bedford-Stuyvesant";40.69096;-73.94613;"Private room";75;7;30;5;216
0.32;"Priv room in 3 bdrm apt - Room 'B'";"Ryan";"Manhattan";"East Harlem";40.80126;-73.9454;"Private room";75;3;22;3;177
0.0;"R & R In Harlem";"Na'Im";"Manhattan";"Harlem";40.81748;-73.94539;"Private room";140;1;0;1;365
1.2;"Private Room";"Brian";"Manhattan";"Chelsea";40.74166;-73.99892;"Private room";90;30;83;1;282
1.34;"Enjoy Harlem Renassiance Sunny Room";"Andre";"Manhattan";"Harlem";40.82519;-73.9453;"Private room";60;1;93;3;358
0.36;"Large, Private 1BR in Noho/Nolita/Soho";"Drew";"Manhattan";"NoHo";40.72644;-73.9923;"Entire home/apt";175;2;25;1;273
3.53;"Urban Jungle in Bedford Stuyvesant";"Eric";"Brooklyn";"Bushwick";40.68909;-73.9173;"Entire home/apt";125;2;240;2;242
1.16;"Peaceful Oasis. 25 mins. Manhattan";"Carlos";"Queens";"Briarwood";40.71594;-73.82264;"Private room";56;5;80;2;298
4.83;"Skylight BR in Gorgeous Rooftop Apt";"Charisse";"Brooklyn";"Bushwick";40.69048;-73.92193;"Private room";64;1;336;1;133
0.15;"Amazing views in Williamsburg Condo";"Mark";"Brooklyn";"Williamsburg";40.71454;-73.94965;"Entire home/apt";300;2;10;1;214
1.36;"HUGE 2bdrm LOFT in NOHO/East Vill!";"Liam";"Manhattan";"NoHo";40.72569;-73.99227;"Entire home/apt";455;30;93;2;332
0.78;"Budget Friendly & Spacious";"Nancy";"Brooklyn";"Canarsie";40.64738;-73.89163;"Private room";37;5;54;5;353
2.39;"Urban Cottage in Williamsburg BK";"Michael";"Brooklyn";"Williamsburg";40.71618;-73.94189;"Entire home/apt";193;3;164;2;256
0.72;"Private room in sunny Bedstuy apartment";"Michael";"Brooklyn";"Bedford-Stuyvesant";40.69493;-73.94161;"Private room";53;3;35;1;113
1.04;"Large 2BR apartment East Village";"Chris";"Manhattan";"East Village";40.7221;-73.98356;"Entire home/apt";420;1;53;3;250
1.51;"LOCATION LOCATION LOCATION Abigail";"Liz";"Manhattan";"Gramercy";40.73679;-73.98177;"Entire home/apt";195;30;104;4;333
0.04;"Huge Room with Private Bathroom";"Lana";"Brooklyn";"Flatbush";40.65083;-73.96101;"Private room";70;3;3;1;188
0.63;"2 bdr NYC duplex w balcony";"Aimee";"Manhattan";"Gramercy";40.73285;-73.98245;"Entire home/apt";400;2;40;1;190
0.9;"Bright & cosy 1 bedroom apartment";"Ines";"Brooklyn";"Williamsburg";40.71766;-73.95634;"Entire home/apt";170;3;61;1;190
0.52;"Brownstone Penthouse Apartment";"David";"Manhattan";"Harlem";40.80964;-73.94098;"Entire home/apt";149;4;35;1;16
1.35;"Heart of Williamsburg";"Emily";"Brooklyn";"Williamsburg";40.71216;-73.96274;"Private room";87;3;85;2;38
0.21;"Washer, Marble Bath, Yard near Subways, High Line";"Michael";"Manhattan";"Chelsea";40.75;-73.99721;"Entire home/apt";92;110;13;19;327
0.22;"Modern Waterfront 2Bed Williamsburg";"Cris";"Brooklyn";"Williamsburg";40.71817;-73.96401;"Entire home/apt";300;5;14;1;188
0.76;"Large Eco bedroom on the River";"Y&Y";"Manhattan";"Kips Bay";40.73544;-73.97465;"Private room";118;5;51;1;201
8.52;"HappyCozy GuestSuite w/ Great Energy close to JFK";"Megan";"Brooklyn";"Cypress Hills";40.6784;-73.89362;"Entire home/apt";125;1;319;1;357
1.91;"Self contained ground level apt";"Mick";"Brooklyn";"Bedford-Stuyvesant";40.68674;-73.95392;"Entire home/apt";122;7;122;2;364
0.34;"Spacious Midtown Manhattan room";"Ayse Sera";"Manhattan";"Midtown";40.76129;-73.96869;"Entire home/apt";280;3;21;1;98
1.92;"Renovated Studio Midtown East";"Evan & Maria";"Manhattan";"Midtown";40.7525;-73.96492;"Entire home/apt";215;4;130;2;270
0.73;"Lux Doorman by 11 trains";"Reginald";"Brooklyn";"Boerum Hill";40.68897;-73.98765;"Private room";89;90;47;1;365
0.12;"Serene, Authentic Artist's Loft";"Kali";"Brooklyn";"Bushwick";40.70714;-73.9216;"Entire home/apt";201;2;8;1;177
0.34;"Cosy Brooklyn NYC One Bedroom in Garden Level";"Carol-Anne";"Brooklyn";"East Flatbush";40.64469;-73.9469;"Private room";119;2;23;1;311
0.86;"East Village - 180º City View & Private Balcony";"Esther & Aaron";"Manhattan";"East Village";40.72369;-73.9753;"Entire home/apt";103;2;29;1;55
2.49;"Park Slope Bedroom in Eccentric New York Apartment";"Frederick";"Brooklyn";"South Slope";40.66516;-73.9794;"Private room";72;2;166;1;78
0.91;"AUTHENTIC TRIBECA LOFT NEAR SOHO";"Genevieve";"Manhattan";"Tribeca";40.71417;-74.00678;"Entire home/apt";240;3;60;1;348
0.63;"Beautiful BK 1 Block From Subway";"Shane";"Brooklyn";"Carroll Gardens";40.67522;-73.99978;"Entire home/apt";180;2;29;1;45
1.72;"Beautiful warm duplex apartment";"Mick";"Brooklyn";"Bedford-Stuyvesant";40.68489;-73.95473;"Entire home/apt";150;7;108;2;359
2.69;"Luxurious Brownstone Duplex w Outdoor Space";"Will And Jo";"Brooklyn";"Bedford-Stuyvesant";40.69322;-73.94581;"Entire home/apt";345;3;181;2;213
2.0;"Studio in the Family Brownstone";"Dorcas";"Brooklyn";"Bedford-Stuyvesant";40.6889;-73.92469;"Entire home/apt";95;3;134;1;281
0.43;"Unshared Apt Cozy One Bedroom";"Sherry";"Manhattan";"Harlem";40.82597;-73.95102;"Entire home/apt";150;5;29;1;260
1.45;"Hip, Brick East Village Apartment";"Peter";"Manhattan";"East Village";40.72485;-73.98349;"Private room";95;3;97;1;11
1.04;"Private room in Center of Manhattan";"Anthony";"Manhattan";"Hell's Kitchen";40.76254;-73.98712;"Private room";90;1;61;1;316
0.0;"Labor Day in Brooklyn Room Stay";"Jay";"Brooklyn";"Crown Heights";40.67143;-73.94929;"Private room";175;5;0;1;359
0.68;"Prime East Village Spacious 1 BED";"Amanda";"Manhattan";"East Village";40.72394;-73.98941;"Entire home/apt";150;4;43;1;188
1.15;"Affordable Private Room in NYC! ";"Alex";"Manhattan";"Washington Heights";40.84278;-73.93725;"Private room";44;3;79;1;191
0.56;"1 BR Penthouse with Private Terrace";"Kristie";"Manhattan";"Upper West Side";40.78618;-73.97339;"Entire home/apt";299;4;38;1;3
0.61;"2 Br Condo: Elegant, Amazing Views!";"Coats";"Manhattan";"Hell's Kitchen";40.75562;-73.99736;"Entire home/apt";525;5;42;1;80
0.67;"3+ Bedroom Steps to Park Avenue";"David";"Manhattan";"Upper East Side";40.77585;-73.95566;"Entire home/apt";600;3;46;1;210
3.53;"Private bedroom in awesome loft apt";"J.D. & Stephanie";"Brooklyn";"Williamsburg";40.71338;-73.96833;"Private room";88;1;220;2;100
0.1;"West Village/SOHO Pretty Apartment";"Melissa";"Manhattan";"SoHo";40.72838;-74.00462;"Entire home/apt";209;2;7;1;265
0.21;"Carroll Gardens Brownstone Flat";"Mary";"Brooklyn";"Carroll Gardens";40.68283;-73.99813;"Entire home/apt";240;3;14;1;199
0.35;"Cozy apartment available!";"Idoline";"Brooklyn";"Bedford-Stuyvesant";40.68185;-73.95336;"Entire home/apt";90;7;8;2;301
1.44;"Long Island City Home 1.!";"Antonio";"Queens";"Long Island City";40.75283;-73.92915;"Private room";73;2;97;3;359
0.09;"Times Square Modern Apartment";"Frederic";"Manhattan";"Hell's Kitchen";40.76316;-73.99358;"Entire home/apt";200;2;6;1;20
3.49;"Sweet Union Square/ Gramercy Studio";"Dan";"Manhattan";"Gramercy";40.7366;-73.98703;"Entire home/apt";199;2;240;1;152
1.96;"PRIVATE Room, located on Central MANHATTAN***";"Denise";"Manhattan";"Upper East Side";40.7789;-73.95311;"Private room";85;3;134;1;108
0.46;"New York City, Manhattan Modern Apartment";"Ronald";"Manhattan";"Murray Hill";40.74855;-73.977;"Entire home/apt";195;4;31;1;78
2.13;"Andrea's bohemian pied-a-terre";"Andrea";"Manhattan";"Greenwich Village";40.72934;-74.00075;"Entire home/apt";173;5;143;1;144
0.07;"Gorgeous 2BR Flex Loft w/NYC views";"Vida";"Brooklyn";"Greenpoint";40.72589;-73.94055;"Entire home/apt";159;30;5;52;346
1.57;"Room in spacious charming loft";"Naomi";"Brooklyn";"Williamsburg";40.71216;-73.96615;"Private room";85;3;92;1;123
3.04;"Private, Spacious Garden Apartment";"Ayana";"Brooklyn";"Bedford-Stuyvesant";40.68413;-73.92693;"Entire home/apt";120;3;207;1;237
2.4;"Gorgeous 1.5 Br - 1 block to Subway-9 min to NYC!";"Christian";"Brooklyn";"Williamsburg";40.71394;-73.94193;"Entire home/apt";175;2;111;2;108
1.88;"Cozy sunny room in the heart of the city";"Ahmed";"Manhattan";"Midtown";40.75375;-73.96556;"Private room";130;2;128;1;294
0.0;"Art-filled 1BR on best block in WV ";"Brandon";"Manhattan";"West Village";40.73311;-74.00761;"Entire home/apt";249;60;0;1;363
1.11;"Large Sunny Room";"Nancy";"Brooklyn";"Canarsie";40.64448;-73.89222;"Private room";38;5;72;5;349
0.55;"Nice Bedroom in Central Bushwick!";"David";"Brooklyn";"Bushwick";40.70343;-73.91343;"Private room";53;1;38;1;312
1.69;"LOFT-CentralPrk/TimeSq/TheaterDist1";"LoftMidtownNYC";"Manhattan";"Hell's Kitchen";40.76296;-73.98641;"Private room";125;4;108;1;285
1.25;"Sunny & Budget Friendly";"Nancy";"Brooklyn";"Canarsie";40.64674;-73.89501;"Private room";32;5;85;5;155
2.33;"Private, Peaceful Times Square 1BR";"Ana";"Manhattan";"Hell's Kitchen";40.75406;-73.99376;"Entire home/apt";160;3;158;1;188
0.0;"Big, bright, Williamsburg bedroom";"Brandon";"Brooklyn";"Williamsburg";40.70711;-73.94457;"Private room";40;7;0;1;331
3.45;"14 Min 2Union Sq, Manhattan with Private Entrance";"Erica And Jorel";"Brooklyn";"Bushwick";40.70565;-73.92254;"Private room";58;1;236;3;350
0.31;"Stylish,Sunny, spacious luxury loft";"Bud";"Brooklyn";"Bedford-Stuyvesant";40.68166;-73.94325;"Entire home/apt";149;2;20;1;355
1.5;"The Spencer";"Stephanie";"Brooklyn";"Bedford-Stuyvesant";40.69181;-73.95366;"Entire home/apt";97;5;44;1;66
2.13;"Private BR in Chelsea (women or couples only)";"Anya";"Manhattan";"Chelsea";40.74793;-74.00691;"Private room";84;2;143;1;311
0.28;"Modern, spacious 2 BR, 2 Bath - BK";"Helena";"Brooklyn";"Prospect Heights";40.68049;-73.97302;"Entire home/apt";275;4;19;2;205
3.63;"Apt near Museum Mile";"Ksenia";"Manhattan";"Upper East Side";40.76981;-73.95812;"Entire home/apt";99;2;249;1;172
0.06;"Greenpoint Studio w/ 2 cats";"Kevin";"Brooklyn";"Greenpoint";40.72587;-73.94122;"Entire home/apt";70;5;2;1;26
0.11;"Modern Industrial 1br Loft w/City View";"Vida";"Brooklyn";"Greenpoint";40.72749;-73.94201;"Entire home/apt";149;30;7;52;340
0.49;"GIANT! Perfect for families, in the center of NYC";"Izzy";"Manhattan";"Midtown";40.75463;-73.97062;"Entire home/apt";399;5;33;1;36
4.49;"Large Garden Apartment";"Cristobal";"Brooklyn";"Gowanus";40.68374;-73.98558;"Entire home/apt";145;3;266;1;224
0.0;"Charming one bedroom in brownstone";"Vivian";"Brooklyn";"Gowanus";40.68323;-73.98643;"Private room";200;2;0;1;365
3.46;"14 min to Union Square, Manhattan-Sunny Modern Rm";"Erica And Jorel";"Brooklyn";"Bushwick";40.70505;-73.92281;"Private room";59;1;238;3;320
0.6;"nice furnished room ground floor";"Nes";"Brooklyn";"Williamsburg";40.71863;-73.94575;"Private room";70;3;30;1;364
0.62;"1000 Sq Ft Loft in Flatiron.";"Damian";"Manhattan";"Gramercy";40.73892;-73.98922;"Entire home/apt";249;4;26;1;281
0.39;"Spring in Ditmas Park Brooklyn!!!";"Patrick";"Brooklyn";"Flatbush";40.6406;-73.96195;"Entire home/apt";70;4;26;1;81
2.23;"Time Square in 30 minutes. Front room.";"Devika";"Queens";"Sunnyside";40.73673;-73.92526;"Private room";45;5;70;4;250
0.22;"Zen & Cozy 2Bedroom in Williamsburg";"Alison";"Brooklyn";"Williamsburg";40.70727;-73.95459;"Entire home/apt";159;1;15;2;194
3.31;"Private Master Bedroom w/Garden 14 min to Union Sq";"Erica And Jorel";"Brooklyn";"Bushwick";40.70561;-73.92515;"Private room";55;1;227;3;341
0.22;"Lower East Side Penthouse Room w/ Epic Views";"Jonathan";"Manhattan";"Lower East Side";40.72147;-73.98806;"Private room";228;1;2;2;365
0.21;"Lovely Brooklyn Brownstone  one block from Subway";"Sunita";"Brooklyn";"Gowanus";40.68396;-73.98914;"Entire home/apt";450;30;14;1;1
0.18;"A room with private bathroom";"Rani";"Brooklyn";"Bedford-Stuyvesant";40.67814;-73.92375;"Private room";45;29;12;3;337
0.04;"Modern Midtown Apt, close to MoMA";"Michael";"Manhattan";"Midtown";40.75876;-73.96854;"Entire home/apt";175;30;2;1;342
0.15;"One Bedroom in an apartment";"Idoline";"Brooklyn";"Crown Heights";40.67138;-73.96058;"Private room";35;30;7;2;318
4.71;"Perfect Harlem, New York Retreat";"Ferris";"Manhattan";"Harlem";40.81056;-73.943;"Entire home/apt";140;2;322;1;258
2.26;"Bedroom for one";"Nicole";"Manhattan";"Harlem";40.82954;-73.94436;"Private room";45;4;7;1;32
0.11;"Space, elegance, and comfort - Room";"Arlene";"Manhattan";"East Harlem";40.80029;-73.94294;"Private room";90;3;7;1;310
2.68;"Nice clean large Bedroom in Astoria";"Rocio & James";"Queens";"Astoria";40.76425;-73.90489;"Private room";79;1;108;3;313
0.0;"Urban Oasis in Chelsea";"Joseph";"Manhattan";"Chelsea";40.74276;-74.00016;"Entire home/apt";225;2;0;1;17
1.39;"Your home away from home in Comfort";"Carlos";"Queens";"Briarwood";40.71477;-73.82012;"Private room";66;5;95;2;301
1.8;"Gorgeous duplex 1 BR Brownstone apt";"Christine & James";"Brooklyn";"Clinton Hill";40.69414;-73.96634;"Entire home/apt";140;3;123;3;244
3.61;"Lovely Bedrooms in Artist's Home";"Lorelei & Alex";"Brooklyn";"Clinton Hill";40.68474;-73.9632;"Private room";98;4;245;1;247
2.36;"Private 2 BR APT: Free WIFI & JACUZZI";"R";"Brooklyn";"Bedford-Stuyvesant";40.67963;-73.9375;"Entire home/apt";140;3;156;2;230
1.04;"2 floor Apt w 300sqft Terrace";"Evan";"Manhattan";"Lower East Side";40.72083;-73.98755;"Entire home/apt";195;2;71;1;222
3.6;"Full of Harlem Soul & Charm";"Andre";"Manhattan";"Harlem";40.82438;-73.94332;"Private room";60;1;245;3;336
0.25;"Adorable 1BD Home with view of NYC";"Lauren";"Queens";"Astoria";40.77453;-73.92833;"Entire home/apt";130;4;17;1;347
0.9;"Bi-level Loft with a Private Garden";"Donald P.";"Brooklyn";"Williamsburg";40.71715;-73.95527;"Entire home/apt";248;3;57;1;344
0.28;"Cozy Vintage Inspired East Village";"Sasha";"Manhattan";"East Village";40.72709;-73.98442;"Entire home/apt";450;2;18;1;363
1.16;"Beautiful, large, charming spot";"Susan";"Brooklyn";"Williamsburg";40.71758;-73.9543;"Entire home/apt";250;8;79;1;78
0.25;"Private Apt, Large, Safe / 5mins to TIMES SQUARE";"Zoey";"Manhattan";"Hell's Kitchen";40.76143;-73.99223;"Entire home/apt";140;5;17;2;2
3.36;"Futon 2.0";"Gaudhi";"Manhattan";"Harlem";40.80026;-73.95197;"Shared room";45;3;229;2;312
0.02;"BEST PRICE - WILLIAMSBURG 1 ROOM";"Gianni";"Brooklyn";"Williamsburg";40.70576;-73.94827;"Private room";100;1;1;2;44
1.26;"Modern Bright Loft in Clinton Hill";"Susan";"Brooklyn";"Bedford-Stuyvesant";40.69135;-73.95859;"Entire home/apt";175;2;52;1;264
2.87;"Entire Park Slope Townhouse";"Miriam";"Brooklyn";"Park Slope";40.67982;-73.98005;"Entire home/apt";650;2;166;1;215
0.42;"HEART OF NYC! AMAIZING LOCATION!, SUPER ROOM";"Anya";"Manhattan";"Midtown";40.76135;-73.97785;"Private room";85;4;29;1;13
0.31;"Manhattan/ LES Short term Stay";"Herman  F";"Manhattan";"East Village";40.72373;-73.99118;"Private room";175;30;20;1;83
0.6;"Penthouse studio w/ skylights and skyline views";"Bryan";"Brooklyn";"Clinton Hill";40.6912;-73.96686;"Entire home/apt";150;7;37;1;39
1.66;"3 Story Brooklyn House - Sleeps 10!";"Deborah";"Brooklyn";"Clinton Hill";40.69356;-73.96744;"Entire home/apt";750;3;32;1;141
3.39;"Unique sunny loft in Manhattan!";"Zi Ying";"Manhattan";"Lower East Side";40.71972;-73.99299;"Entire home/apt";249;2;230;2;166
3.12;"COZY and WARM Garden Apartment";"Brandon";"Brooklyn";"Fort Greene";40.69117;-73.97047;"Entire home/apt";180;2;72;1;290
0.02;"Priv room in 3 bdrm apt - Room 'C'";"Ryan";"Manhattan";"Harlem";40.80688;-73.94932;"Private room";90;3;1;3;177
1.26;"Great 1BD waterfront City Island NY";"Alex";"Bronx";"City Island";40.85258;-73.78762;"Entire home/apt";120;3;84;1;16
1.43;"Private Ground Floor Studio Apt PLUS Driveway";"Kerri & Steve";"Queens";"Middle Village";40.71576;-73.86268;"Entire home/apt";85;2;97;1;230
2.62;"Awesome Harlem House 3 bdr 2 floors";"Grover";"Manhattan";"Harlem";40.80874;-73.94756;"Entire home/apt";174;3;177;3;165
0.04;"Hell's Kitchen, close to All";"Judson";"Manhattan";"Hell's Kitchen";40.76247;-73.99225;"Entire home/apt";150;21;2;1;203
3.82;"2Br East Village VERY Spacious Apt.";"Matthew";"Manhattan";"East Village";40.72815;-73.98059;"Entire home/apt";295;1;261;1;245
